嗚呼,ああ,"Ah!;Oh!;Alas!",
失敗,しっぱい,"failure;mistake;blunder",
執筆,しっぴつ,"writing",
尻尾,しっぽ,"tail (animal)",
質,しつ,"quality",
室,しつ,"room",
室,しつ,"room",
失業,しつぎょう,"unemployment",
,しつこい,"insistent;obstinate",
湿度,しつど,"level of humidity",
失望,しつぼう,"disappointment;despair",
質問,しつもん,"question;inquiry",
失礼,しつれい,"discourtesy;impoliteness;Excuse me;Goodbye",
失礼しました,しつれいしました,"Excuse me.;I'm sorry.",
失恋,しつれん,"disappointed love;broken heart;unrequited love;be lovelorn",
指定,してい,"designation;specification;assignment;pointing at",
私鉄,してつ,"private railway",
支店,してん,"branch store (office)",
指導,しどう,"leadership;guidance;coaching",
品,しな,"thing;article;goods;dignity;article (goods);counter for meal courses",
品物,しなもの,"goods;article;thing",
死ぬ,しぬ,"to die",
支配,しはい,"rule;control;direction",
支払,しはらい,"payment",
支払う,しはらう,"to pay",
芝居,しばい,"play;drama",
屡,しばしば,"often;again and again;frequently",
芝生,しばふ,"lawn",
暫く,しばらく,"little while",
縛る,しばる,"to tie;to bind",
痺れる,しびれる,"to become numb;to go to sleep (i.e.  a limb)",
紙幣,しへい,"paper money;notes;bills",
資本,しほん,"funds;capital",
死亡,しぼう,"death;mortality",
萎む,しぼむ,"to wither;to fade (away);to shrivel;to wilt",
絞る,しぼる,"to press;to wring;to squeeze",
島,しま,"island",
縞,しま,"stripe",
島,しま,"island",
仕舞,しまい,"end;termination;informal (Noh play)",
仕舞う,しまう,"to finish;to close;to do something completely;to put away;to put an end to",
,しまった,"Damn it!",
閉まる,しまる,"to close;to be closed",
泌み泌み,しみじみ,"keenly;deeply;heartily",
市民,しみん,"citizen;townspeople",
氏名,しめい,"full name;identity",
締め切り,しめきり,"closing;cut-off;end;deadline;Closed;No Entrance",
締め切る,しめきる,"to shut up",
示す,しめす,"to denote;to show;to point out;to indicate",
占めた,しめた,"I've got it;all right;fine",
占める,しめる,"to comprise;to hold;to occupy",
湿る,しめる,"to be wet;to become wet;to be damp",
閉める,しめる,"to close;to shut",
締める,しめる,"to tie;to fasten",
霜,しも,"frost",
僕,しもべ,"manservant;servant (of God)",
社会,しゃかい,"society;public",
社会科学,しゃかいかがく,"social science",
,しゃがむ,"to squat",
車庫,しゃこ,"garage;car shed",
車掌,しゃしょう,"(train) conductor",
写真,しゃしん,"photograph",
写生,しゃせい,"sketching;drawing from nature;portrayal;description",
社説,しゃせつ,"editorial;leading article",
借金,しゃっきん,"debt;loan;liabilities",
吃逆,しゃっくり,"hiccough;hiccup",
,しゃぶる,"to suck;to chew",
喋る,しゃべる,"to talk;to chat;to chatter",
洒落,しゃらく,"frank;open-hearted",
車輪,しゃりん,"(car) wheel",
種,しゅ,"kind;variety;species",
週,しゅう,"week",
州,しゅう,"state;province",
周,しゅう,"circuit;lap;circumference;vicinity;Chou (dynasty)",
周囲,しゅうい,"surroundings;circumference;environs",
集会,しゅうかい,"meeting;assembly",
収穫,しゅうかく,"harvest;crop;ingathering",
週間,しゅうかん,"week;weekly",
習慣,しゅうかん,"custom;habit;manners",
宗教,しゅうきょう,"religion",
集金,しゅうきん,"money collection",
集合,しゅうごう,"gathering;assembly;meeting;set (math)",
就職,しゅうしょく,"finding employment;inauguration",
習字,しゅうじ,"penmanship",
修正,しゅうせい,"amendment;correction;revision;modification;alteration;retouching;update",
修繕,しゅうぜん,"repair;mending",
集団,しゅうだん,"group;mass",
集中,しゅうちゅう,"concentration;focusing the mind",
終点,しゅうてん,"terminus;last stop (e.g train)",
収入,しゅうにゅう,"income;receipts;revenue",
就任,しゅうにん,"inauguration;assumption of office",
周辺,しゅうへん,"circumference;outskirts;environs;(computer) peripheral",
修理,しゅうり,"repairing;mending",
終了,しゅうりょう,"end;close;termination",
主義,しゅぎ,"doctrine;rule;principle",
縮小,しゅくしょう,"reduction;curtailment",
祝日,しゅくじつ,"national holiday",
宿題,しゅくだい,"homework",
宿泊,しゅくはく,"lodging",
主語,しゅご,"subject",
首相,しゅしょう,"Prime Minister",
手術,しゅじゅつ,"surgical operation",
手段,しゅだん,"means;way;measure",
主張,しゅちょう,"claim;request;insistence;assertion;advocacy;emphasis;contention;opinion;tenet",
出勤,しゅっきん,"going to work;at work",
出身,しゅっしん,"graduate from;come from",
出席,しゅっせき,"attendance;presence",
出張,しゅっちょう,"official tour;business trip",
出発,しゅっぱつ,"departure",
出版,しゅっぱん,"publication",
出場,しゅつじょう,"(stage) appearance;participation;performance",
首都,しゅと,"capital city",
主婦,しゅふ,"housewife;mistress",
趣味,しゅみ,"hobby;tastes;preference",
主役,しゅやく,"leading part;leading actor (actress)",
主要,しゅよう,"chief;main;principal;major",
種類,しゅるい,"variety;kind;type;category;counter for different sorts of things",
瞬間,しゅんかん,"moment;second;instant",
諸,しょ,"various;many;several",
所為,しょい,"act;deed;one's doing",
章,しょう,"1.  chapter;section; 2.  medal",
賞,しょう,"prize;award",
背負う,しょう,"to be burdened with;to carry on back or shoulder",
象,しょう,"phenomenon",
傷,しょう,"wound;injury;hurt;cut;gash;bruise;scratch;scar;weak point",
商,しょう,"quotient",
傷,しょう,"wound;injury;hurt;cut;gash;bruise;scratch;scar;weak point",
消化,しょうか,"digestion",
紹介,しょうかい,"introduction",
障害,しょうがい,"obstacle;impediment (fault)",
奨学金,しょうがくきん,"scholarship",
小学生,しょうがくせい,"grade school student",
小学校,しょうがっこう,"primary school;elementary school",
正月,しょうがつ,"New Year;New Year's Day;the first month;January",
消極的,しょうきょくてき,"passive",
賞金,しょうきん,"prize;monetary award",
将棋,しょうぎ,"Japanese chess",
商業,しょうぎょう,"commerce;trade;business",
消耗,しょうこう,"exhaustion;consumption",
正午,しょうご,"noon;mid-day",
商社,しょうしゃ,"trading company;firm",
少々,しょうしょう,"just a minute;small quantity",
障子,しょうじ,"paper sliding door",
正直,しょうじき,"honesty;integrity;frankness",
症状,しょうじょう,"symptoms;condition",
生じる,しょうじる,"to produce;to yield;to result from;to arise;to be generated",
少数,しょうすう,"minority;few",
小説,しょうせつ,"novel;story",
招待,しょうたい,"invitation",
承知,しょうち,"consent;acceptance;assent;admitting;acknowledgment;compliance;agreement;awareness",
商店,しょうてん,"shop;business firm",
焦点,しょうてん,"focus;point",
衝突,しょうとつ,"collision;conflict",
消毒,しょうどく,"disinfection;sterilization",
承認,しょうにん,"recognition;acknowledgement;approval;consent;agreement",
少年,しょうねん,"boys;juveniles",
勝敗,しょうはい,"victory or defeat;issue (of battle)",
商売,しょうばい,"trade;business;commerce;transaction;occupation",
消費,しょうひ,"consumption;expenditure",
商品,しょうひん,"commodity;article of commerce;goods;stock;merchandise",
賞品,しょうひん,"prize;trophy",
勝負,しょうぶ,"victory or defeat;match;contest;game;bout",
小便,しょうべん,"urine;piss",
消防,しょうぼう,"fire fighting;fire department",
消防署,しょうぼうしょ,"fire station",
正味,しょうみ,"net (weight)",
証明,しょうめい,"proof;verification",
正面,しょうめん,"front;frontage;facade;main",
醤油,しょうゆ,"soy sauce",
将来,しょうらい,"future;prospects",
省略,しょうりゃく,"omission;abbreviation;abridgment",
初級,しょきゅう,"elementary level",
職,しょく,"employment",
食塩,しょくえん,"table salt",
職業,しょくぎょう,"occupation;business",
食事,しょくじ,"meal",
食卓,しょくたく,"dining table",
食堂,しょくどう,"cafeteria;dining hall",
職人,しょくにん,"worker;mechanic;artisan;craftsman",
職場,しょくば,"one's post;place of work;workplace",
食品,しょくひん,"commodity;foodstuff",
植物,しょくぶつ,"plant;vegetation",
食物,しょくもつ,"food;foodstuff",
食欲,しょくよく,"appetite (for food)",
食料,しょくりょう,"food",
書斎,しょさい,"study",
所々,しょしょ,"here and there;some parts (of something)",
初旬,しょじゅん,"first 10 days of the month",
書籍,しょせき,"book;publication",
食器,しょっき,"tableware",
書店,しょてん,"bookshop",
書道,しょどう,"calligraphy",
初歩,しょほ,"elements;rudiments;ABC's of..",
署名,しょめい,"signature",
書物,しょもつ,"books",
処理,しょり,"processing;dealing with;treatment;disposition;disposal",
書類,しょるい,"documents;official papers",
使用,しよう,"use;application;employment;utilization",
白髪,しらが,"white or grey hair;trendy hair bleaching",
知らせ,しらせ,"notice",
知らせる,しらせる,"to notify;to advise",
調べる,しらべる,"to investigate;to check up",
尻,しり,"buttocks;bottom",
知り合い,しりあい,"acquaintance",
退く,しりぞく,"to retreat;to recede;to withdraw",
退ける,しりぞける,"to repel;to drive away",
私立,しりつ,"private (establishment)",
資料,しりょう,"materials;data",
汁,しる,"juice;sap;soup;broth",
知る,しる,"to know;to understand;to be acquainted with;to feel",
白,しろ,"white",
城,しろ,"castle",
代,しろ,"price;materials;substitution",
白い,しろい,"white",
素人,しろうと,"amateur;novice",
皺,しわ,"wrinkles;creases",
芯,しん,"core;heart;wick;marrow",
新,しん,"new",
新幹線,しんかんせん,"bullet train (very high speed);shinkansen",
進学,しんがく,"going on to university",
殿,しんがり,"rear;rear unit guard",
真空,しんくう,"vacuum;hollow;empty",
神経,しんけい,"nerve;sensitivity",
真剣,しんけん,"seriousness;earnestness",
信仰,しんこう,"(religious) faith;belief;creed",
深刻,しんこく,"serious",
信号,しんごう,"traffic lights;signal;semaphore",
診察,しんさつ,"medical examination",
心身,しんしん,"mind and body",
心中,しんじゅう,"double suicide;lovers suicide",
信じる,しんじる,"to believe;to believe in;to place trust in;to confide in;to have faith in",
信ずる,しんずる,"to believe;to believe in;to place trust in;to confide in;to have faith in",
親戚,しんせき,"relative",
親切,しんせつ,"kindness;gentleness",
新鮮,しんせん,"fresh",
心臓,しんぞう,"heart",
寝台,しんだい,"bed;couch",
診断,しんだん,"diagnosis",
身長,しんちょう,"height (of body);stature",
侵入,しんにゅう,"penetration;invasion;raid;aggression;trespass",
審判,しんばん,"refereeing;trial;judgement;umpire;referee",
心配,しんぱい,"worry;concern;anxiety;care",
新聞,しんぶん,"newspaper",
進歩,しんぽ,"progress;development",
真面目,しんめんもく,"one's true character;oneself;seriousness;earnestness",
深夜,しんや,"late at night",
親友,しんゆう,"close friend;bosom (old  intimate) friend;buddy;crony;chum",
信用,しんよう,"confidence;dependence;credit;faith;reliance;belief;credence",
信頼,しんらい,"reliance;trust;confidence",
心理,しんり,"mentality",
森林,しんりん,"forest;woods",
親類,しんるい,"relation;kin",
進路,しんろ,"course;route",
神話,しんわ,"myth;legend",
寺院,じいん,"temple",
自衛,じえい,"self-defense",
地方,じかた,"area;locality;district;region;the coast",
直に,じかに,"directly;in person;headlong",
時間,じかん,"time",
時間,じかん,"time",
時間割,じかんわり,"timetable;schedule",
直,じき,"direct;in person;soon;at once;just;near by;honesty;frankness;simplicity;cheerfulness;correctness;being straight;night duty",
時期,じき,"time;season;period",
事件,じけん,"event;affair;incident;case;plot;trouble;scandal",
事故,じこ,"accident;incident;trouble;circumstances;reasons",
時刻,じこく,"instant;time;moment",
自殺,じさつ,"suicide",
持参,じさん,"bringing;taking;carrying",
磁石,じしゃく,"magnet",
自習,じしゅう,"self-study",
辞書,じしょ,"dictionary;lexicon",
自信,じしん,"self-confidence",
自身,じしん,"by oneself;personally",
地震,じしん,"earthquake",
事実,じじつ,"fact;truth;reality",
事情,じじょう,"circumstances;consideration;conditions;situation;reasons",
時速,じそく,"speed (per hour)",
事態,じたい,"situation;present state of affairs;circumstances",
自宅,じたく,"one's home",
時代,じだい,"period;epoch;era",
自治,じち,"self-government;autonomy",
実感,じっかん,"feelings (actual  true)",
実験,じっけん,"experiment",
